bin_idx	mu_mean	mu_lower_hdi	mu_upper_hdi	mu_median	mu_residual_mean	mu_residual_lower_hdi	mu_residual_upper_hdi	mu_residual_median	p_mean	p_lower_hdi	p_upper_hdi	p_median	p_residual_mean	p_residual_lower_hdi	p_residual_upper_hdi	p_residual_median	baf_outlier_odds_mean	baf_outlier_odds_lower_hdi	baf_outlier_odds_upper_hdi	baf_outlier_odds_median	rdr_outlier_odds_mean	rdr_outlier_odds_lower_hdi	rdr_outlier_odds_upper_hdi	rdr_outlier_odds_median	baf_outlier_prob_mean	baf_outlier_prob_lower_hdi	baf_outlier_prob_upper_hdi	baf_outlier_prob_median	rdr_outlier_prob_mean	rdr_outlier_prob_lower_hdi	rdr_outlier_prob_upper_hdi	rdr_outlier_prob_median	data_rdr	data_baf	chrom	start	end
0	0.831234257702595	0.8305025851207083	0.8321762379945832	0.8311291038475441	-0.01230141556392636	-0.013243395855914608	-0.011569742982039721	-0.012196261708875555	0.6041203183835596	0.6026701997723157	0.6050810662333399	0.6043650037642914	0.012485852215351478	0.011525104365571193	0.013935970826595367	0.012241166834619677	-2.932330659818108	-3.00937277813735	-2.830950242956375	-2.944499809089353	-3.5982980228668433	-3.633403006788445	-3.5728068321730624	-3.5934911262529337	0.0012933391692402697	0.0007550052081723095	0.0018977371523981731	0.001260307158195298	0.0005331552361411007	0.0003754558029169059	0.0007350719402068926	0.0005110466007203022	0.8189328421386686	0.6166061705989111	chr7	23000000	23500000
1	1.0043311122011944	1.0016780402639538	1.005916876327009	1.0048647661069074	0.03551343138510221	0.03392766725928764	0.03816650332234284	0.034979777479389185	0.5	0.5	0.5	0.5	-0.01137350234415696	-0.01137350234415696	-0.01137350234415696	-0.01137350234415696	-2.997480346226131	-3.0156312421828666	-2.977372481155578	-2.99845883078304	-2.73563580081079	-2.8164880396687675	-2.6179824185109593	-2.7540363725317163	0.0011932175208845463	0.0007502947905872721	0.0016141660962746592	0.0012042045983381268	0.0012756414303012698	0.0009513645730100623	0.0019098744500417291	0.001120663349076644	1.0398445435862966	0.48862649765584304	chr11	66000000	66500000
2	1.177427966699794	1.172322755300959	1.1806088701858788	1.1783901206561689	0.004473523366191778	0.0012926198801068711	0.009578734765026686	0.003511369409816778	0.5735052017918663	0.5727806034069506	0.5739838562416381	0.5736281737594381	-0.02468630415407097	-0.025164958603842824	-0.02396170576915535	-0.024809276121642854	-1.8523594117754456	-1.9168667349604651	-1.7531713635199342	-1.8696997743106913	-3.6952523283892336	-3.731681290533875	-3.6135488533514866	-3.717889584835786	0.0036868044415180757	0.0026516200242080895	0.004733882602436952	0.0036808575697136314	0.0004871181301466877	0.0003418002868370879	0.000705725499568476	0.00045047336709059334	1.1819014900659857	0.5488188976377952	chr14	50500000	51000000
3	0.831234257702595	0.8305025851207083	0.8321762379945832	0.8311291038475441	0.1930254825811483	0.19208350228916005	0.19375715516303493	0.1931306364361991	0.5	0.5	0.5	0.5	-0.07313278008298757	-0.07313278008298757	-0.07313278008298757	-0.07313278008298757	3.7663030833806435	3.4334722274183025	4.175798768403817	3.727970668850227	3.968385409867135	3.6422343244505258	4.253585976040978	3.988860669488518	0.9946851610006201	0.9885873252333183	0.9973329582638075	0.9964101802526775	0.9995527353662808	0.9993946243872519	0.9996979609792234	0.9995591780493238	1.0242597402837432	0.42686721991701243	chr15	44500000	45000000
4	1.177427966699794	1.172322755300959	1.1806088701858788	1.1783901206561689	0.052719267029389116	0.04953836354330421	0.057824478428224024	0.051757113073014116	0.5735052017918663	0.5727806034069506	0.5739838562416381	0.5736281737594381	-0.020270700444157297	-0.02074935489392915	-0.019546102059241677	-0.02039367241172918	-2.3510282912430855	-2.4023950056295633	-2.2963864372761176	-2.3526658610333304	-1.6981093933623952	-1.8798272431223815	-1.4140535259961529	-1.7492784021655234	0.002250525814308539	0.0015402668942219705	0.0029130989368564273	0.002274368713077879	0.003714118780866962	0.002621566618441969	0.006365968619456419	0.00293446994278473	1.230147233729183	0.5532345013477089	chr4	6500000	7000000
5	0.831234257702595	0.8305025851207083	0.8321762379945832	0.8311291038475441	0.010236853578416888	0.00929487328642864	0.010968526160303527	0.010342007433467693	0.6041203183835596	0.6026701997723157	0.6050810662333399	0.6043650037642914	-0.0023913897018676966	-0.0033521375516479823	-0.0009412710906238075	-0.0026360750825994983	-3.2548736705102668	-3.275912899183507	-3.208748506642785	-3.267416638107388	-3.6298720954219386	-3.6424924916853545	-3.5958459797816746	-3.6405749551103628	0.0009221512004435261	0.0005783530679693143	0.0012265882353630548	0.0009418317492208677	0.0005166522442279235	0.00037308004208395587	0.0007183301085822442	0.00048759941312274686	0.8414711112810118	0.6017289286816919	chr16	61000000	61500000
6	0.831234257702595	0.8305025851207083	0.8321762379945832	0.8311291038475441	0.0003183092589741643	-0.0006236710330140838	0.001049981840860803	0.00042346311402496895	0.6041203183835596	0.6026701997723157	0.6050810662333399	0.6043650037642914	-0.02705106162680282	-0.028011809476583105	-0.02560094301555893	-0.02729574700753462	-1.4604246058579768	-1.6329011355281824	-1.2528878332977493	-1.477954727302988	-3.7147562826658387	-3.7397840345738373	-3.6787770133984723	-3.720232041345523	0.005386952403900592	0.004373022043882318	0.006288429210139205	0.005443179180790423	0.00047491972801731486	0.00033756555704261365	0.0006611615358639405	0.0004504759095813526	0.8315525669615691	0.5770692567567568	chr13	30000000	30500000
7	1.437073248447693	1.4282898278564666	1.4426468609741832	1.4386781524800611	0.07747493873277878	0.07190132620628864	0.08625835932400516	0.07587003470041065	0.6505609694346386	0.649343564335524	0.6513641336841995	0.6507680898594155	0.018747466131532303	0.01794430188197138	0.01996487123064694	0.018540345706755446	-2.3430331483670117	-2.4327498508637455	-2.1796148963980406	-2.3798839231031303	0.16900612134866833	-0.22479772933484465	0.7516467794066064	0.07458771766145578	0.0023466102095222085	0.0013728092787239081	0.003640050483105338	0.0021867905381297943	0.026306093104009522	0.015213154869467399	0.05551574670103116	0.017247735422769764	1.5145481871804718	0.6693084355661709	chr8	138500000	139000000
8	1.0043311122011944	1.0016780402639538	1.005916876327009	1.0048647661069074	-0.031952020386311175	-0.033537784512125746	-0.02929894844907055	-0.0324856742920242	0.5	0.5	0.5	0.5	0.012615643397813292	0.012615643397813292	0.012615643397813292	0.012615643397813292	-2.9165490175072497	-2.930979910308559	-2.9027705944445876	-2.9162227826379263	-2.9090445252122805	-3.0360986295741506	-2.8239810121066506	-2.888049229584161	0.0012932242723836178	0.0008165739806069578	0.001751989772412912	0.0013021666682573006	0.0010507183866112343	0.000762874968238668	0.0012572430848956585	0.0010913777466553057	0.9723790918148832	0.5126156433978133	chr1	178000000	178500000
9	1.0043311122011944	1.0016780402639538	1.005916876327009	1.0048647661069074	0.009334005400379874	0.007748241274565304	0.0119870773376205	0.008800351494666847	0.5	0.5	0.5	0.5	0.0035043453882814823	0.0035043453882814823	0.0035043453882814823	0.0035043453882814823	-3.3181939332121044	-3.355155043360295	-3.2665066566834597	-3.325557016402332	-3.6270938329702718	-3.663549029216841	-3.554554621561866	-3.6451358405511907	0.0008679748892865063	0.0005342919338834067	0.0011655936308361805	0.0008860069962132191	0.0005205272948079608	0.0003707782490244274	0.0007486118185383034	0.00048135955583455644	1.0136651176015743	0.5035043453882815	chr4	18000000	18500000
