bin_idx	mu_mean	mu_lower_hdi	mu_upper_hdi	mu_median	mu_residual_mean	mu_residual_lower_hdi	mu_residual_upper_hdi	mu_residual_median	p_mean	p_lower_hdi	p_upper_hdi	p_median	p_residual_mean	p_residual_lower_hdi	p_residual_upper_hdi	p_residual_median	baf_outlier_odds_mean	baf_outlier_odds_lower_hdi	baf_outlier_odds_upper_hdi	baf_outlier_odds_median	rdr_outlier_odds_mean	rdr_outlier_odds_lower_hdi	rdr_outlier_odds_upper_hdi	rdr_outlier_odds_median	baf_outlier_prob_mean	baf_outlier_prob_lower_hdi	baf_outlier_prob_upper_hdi	baf_outlier_prob_median	rdr_outlier_prob_mean	rdr_outlier_prob_lower_hdi	rdr_outlier_prob_upper_hdi	rdr_outlier_prob_median	data_rdr	data_baf	chrom	start	end
0	0.9871805567635139	0.9786251956243196	0.9921842060998912	0.9889564126649224	-0.01740566596045734	-0.022409315296834653	-0.008850304821263033	-0.019181521861865836	0.5	0.5	0.5	0.5	-0.027605633802816887	-0.027605633802816887	-0.027605633802816887	-0.027605633802816887	-1.5627746942670637	-1.757301428426847	-1.4765650154086378	-1.508616166616385	-3.2800763888290945	-3.350181074943336	-3.20544619130885	-3.282339144532095	0.0013503707139671454	0.0003143789219864295	0.0025323108669067676	0.0012773965334876923	0.0003166562499439091	5.379559700506316e-05	0.0009572288619295194	0.00012780027042052702	0.9697748908030566	0.4723943661971831	chr22	17500000	18000000
1	0.9871805567635139	0.9786251956243196	0.9921842060998912	0.9889564126649224	0.007285508547287489	0.0022818592109101754	0.015840869686481795	0.005509652645878993	0.5	0.5	0.5	0.5	0.012885662431941891	0.012885662431941891	0.012885662431941891	0.012885662431941891	-2.893807675593517	-2.9099879402736715	-2.8704963724777963	-2.8973731948112995	-3.412235137786502	-3.5069542341746	-3.212201718311287	-3.46489229933006	0.0003417117724272272	8.025277094128843e-05	0.0006180776987981019	0.00033425830998475925	0.0002669898120770411	4.598974627299491e-05	0.0007737646841452431	0.00012410240894496322	0.9944660653108014	0.5128856624319419	chr22	19000000	19500000
2	0.9871805567635139	0.9786251956243196	0.9921842060998912	0.9889564126649224	0.010772305860609288	0.005768656524231974	0.019327666999803594	0.008996449959200792	0.5	0.5	0.5	0.5	0.004391984628053791	0.004391984628053791	0.004391984628053791	0.004391984628053791	-3.3166601125022925	-3.3622395373492964	-3.230013303865868	-3.3371938043970033	-3.384620999986317	-3.4806778449571074	-3.1700284101490377	-3.443888872419561	0.0002212965729069816	5.105633817900681e-05	0.00039569500420317193	0.00021921747462287387	0.00027426694942809626	4.745221171950572e-05	0.000792916039370713	0.00012834977331108312	0.9979528626241232	0.5043919846280538	chr22	19500000	20000000
3	0.9871805567635139	0.9786251956243196	0.9921842060998912	0.9889564126649224	-0.011456312630743537	-0.01645996196712085	-0.0029009514915492307	-0.013232168532152033	0.5	0.5	0.5	0.5	0.026215805471124565	0.026215805471124565	0.026215805471124565	0.026215805471124565	-1.8346591588661303	-1.9652945229570618	-1.7790699072983696	-1.797136102604545	-3.3641011445301645	-3.44821174065798	-3.2963303610076258	-3.3559312382275266	0.0010156208256117012	0.00024866318827130793	0.0018850324042466535	0.0009643938549644218	0.0002867924587080781	4.877222339341049e-05	0.0008554027229519731	0.00012149744424346442	0.9757242441327704	0.5262158054711246	chr22	20500000	21000000
4	0.9871805567635139	0.9786251956243196	0.9921842060998912	0.9889564126649224	0.03440632139148048	0.029402672055103163	0.04296168253067478	0.03263046549007198	0.5	0.5	0.5	0.5	0.02346325382974601	0.02346325382974601	0.02346325382974601	0.02346325382974601	-1.825191804433183	-2.0328267023131508	-1.730985029260001	-1.76847774307979	-2.904319119701352	-3.047250773617886	-2.6746377776200623	-2.9476939637837294	0.0010409348211754888	0.0002386680662361847	0.001958290850207544	0.0009833901841291132	0.0004529172827166466	8.217202521856093e-05	0.0013228781208913683	0.0002033094923783285	1.0215868781549944	0.523463253829746	chr22	22500000	23000000
5	0.9871805567635139	0.9786251956243196	0.9921842060998912	0.9889564126649224	-0.01125334304690595	-0.016256992383283264	-0.002697981907711644	-0.013029198948314447	0.5	0.5	0.5	0.5	-0.00438492533775775	-0.00438492533775775	-0.00438492533775775	-0.00438492533775775	-3.260020317096923	-3.3013538859627083	-3.1824938811502195	-3.2781167506373827	-3.3663909841242567	-3.4508908094209207	-3.2967180888050995	-3.358977519135504	0.00023457589472126615	5.4261521328350424e-05	0.00042015255777694217	0.00023194474988988601	0.0002860093651015668	4.864173412612588e-05	0.0008527007848837572	0.00012134747069819208	0.975927213716608	0.49561507466224225	chr22	23000000	23500000
6	0.8230545893750683	0.8179476958418019	0.8279009916721308	0.8231848349931701	0.20686973311155143	0.20202333081448887	0.21197662664481776	0.20673948749344956	0.5	0.5	0.5	0.5	-0.002210811581800032	-0.002210811581800032	-0.002210811581800032	-0.002210811581800032	-3.351962121598307	-3.400675057786973	-3.2586659372059232	-3.374253745700166	5.324814790792445	3.657569565641999	6.443404467481336	5.599142565023222	0.00021337038590921054	4.913119517958788e-05	0.00038103954273457593	0.00021165540286133922	0.9111594629859261	0.8189007398130295	0.9984553855987238	0.9136408632659756	1.0299243224866197	0.49778918841819997	chr22	23500000	24000000
7	0.9871805567635139	0.9786251956243196	0.9921842060998912	0.9889564126649224	0.033719987564633014	0.0287163382282557	0.04227534870382732	0.03194413166322452	0.5	0.5	0.5	0.5	0.038066723695466265	0.038066723695466265	0.038066723695466265	0.038066723695466265	-0.40392261875862157	-0.7245393218663887	-0.2573045977749606	-0.3169232776965685	-2.9251837338260023	-3.064523292840285	-2.6939594704426915	-2.971126086010516	0.004419144883295843	0.0008830317199043183	0.00843165455129525	0.004180946630991901	0.0004430174408989705	8.023513076108877e-05	0.001292785216034342	0.00019952470840022566	1.020900544328147	0.5380667236954663	chr22	24000000	24500000
8	0.9871805567635139	0.9786251956243196	0.9921842060998912	0.9889564126649224	-0.006336147464767072	-0.011339796801144386	0.002219213674427234	-0.008112003366175569	0.5	0.5	0.5	0.5	-0.018645584725537012	-0.018645584725537012	-0.018645584725537012	-0.018645584725537012	-2.4382470310698876	-2.514136585079048	-2.406940368364565	-2.4159555854179686	-3.410112041850895	-3.5022235331219456	-3.2974012325156616	-3.420411700882986	0.0005491132282756601	0.0001326850040699488	0.0010108666255495152	0.0005264506417415883	0.0002712047262780646	4.6207825441065855e-05	0.0008007350189184186	0.00011893803037638703	0.9808444092987468	0.481354415274463	chr22	25000000	25500000
9	0.9871805567635139	0.9786251956243196	0.9921842060998912	0.9889564126649224	0.002624748737205307	-0.002378900599172007	0.011180109876399613	0.0008488928357968106	0.5	0.5	0.5	0.5	-0.02015888778550151	-0.02015888778550151	-0.02015888778550151	-0.02015888778550151	-2.317829903406154	-2.405749732751846	-2.2814217222987168	-2.2920740792870262	-3.4312518232031044	-3.5281437660070587	-3.2556863066880117	-3.470588610058674	0.0006209218475110111	0.0001504675593183899	0.001145154928642877	0.0005940324510413888	0.0002626570376871015	4.5025497152510406e-05	0.0007648802530512759	0.00012036120027230991	0.9898053055007192	0.4798411122144985	chr22	25500000	26000000
10	0.9871805567635139	0.9786251956243196	0.9921842060998912	0.9889564126649224	0.045397920346540666	0.04039427101016335	0.05395328148573497	0.04362206444513217	0.5	0.5	0.5	0.5	0.006935123042505542	0.006935123042505542	0.006935123042505542	0.006935123042505542	-3.1976336292977345	-3.233927687557328	-3.1308699409546064	-3.2128684443395015	-2.518040928456245	-2.7194774199002545	-2.3278110239292946	-2.512437634997715	0.0002501598250316758	5.8046333378837394e-05	0.0004489646643788908	0.0002468141511844875	0.0006831542412720621	0.00012772328710331063	0.002032509485201905	0.00028619209639151635	1.0325784771100546	0.5069351230425055	chr22	26000000	26500000
